UNIT_CODE,UNIT_NAME,EVENT_NAME,STATE,LAT,LONG,DATE,PARK_URL,INAT_URL
LAVO,Lassen Volcanic National Park,2016 National Parks BioBlitz - Lassen Volcanic Butterfly BioBlitz,CA,40.512726,-121.325615,"Sat. July 23, 2016",https://www.nps.gov/lavo,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-lassen-volcanic-butterfly-bioblitz
LABE,Lava Beds National Monument,2016 National Parks BioBlitz - Lava Beds Bug-Blitz,CA,41.75872643,-121.5178032,"Sat. May 21, 2016",https://www.nps.gov/labe,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-lava-beds-bug-blitz
LEWI,Lewis & Clark National Historic Trail,2016 National Parks BioBlitz - Lewis and Clark,WA,46.28618254,-124.0676324,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/lewi,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-lewis-and-clark
LIRI,Little River Canyon National Preserve,2016 National Parks BioBlitz - Little River Canyon,AL,34.4519056,-85.59724642,"Fri. May 20 - Sun. May 22, 2016",https://www.nps.gov/liri,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-little-river-canyon
MANA,Manassas National Battlefield Park,2016 National Parks BioBlitz - Manassas,VA,38.82077103,-77.53003926,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/mana,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-manassas
MABI,Marsh-Billings-Rockefeller National Historic Park,2016 National Parks BioBlitz - Marsh-Billings-Rockefeller,VT,43.63382235,-72.53823839,"Sun. May 22, 2016",https://www.nps.gov/mabi,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-marsh-billings-rockefeller
MISS,Mississippi National River and Recreation Area,2016 National Parks BioBlitz - Mississippi River Coldwater BioBlitz,MN,44.77223486,-92.93011156,"Fri. July 15 - Sat. July 16, 2016",https://www.nps.gov/miss,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-mississippi-river-coldwater-bioblitz
MNRR,Missouri National Recreational River,2016 National Parks BioBlitz - Missouri National Recreational River,SD,42.76717171,-97.07068502,"Sat. May 21, 2016",https://www.nps.gov/mnrr,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-missouri-national-recreational-river
MONO,Monocacy National Battlefield,2016 National Parks BioBlitz - Monocacy,MD,39.35769765,-77.40246951,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/mono,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-monocacy
MOCA,Montezuma Castle National Monument,2016 National Parks BioBlitz - Montezuma Castle Invertebrate BioBlitz,AZ,34.61102059,-111.8366153,"Sat. May 21, 2016",https://www.nps.gov/moca,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-montezuma-castle-invertebrate-bioblitz
MORA,Mount Rainier National Park,2016 National Parks BioBlitz - Mount Rainier,WA,46.86060444,-121.7043729,"Fri. May 20 - Sun. May 22, 2016",https://www.nps.gov/mora,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-mount-rainier
NATR,Natchez Trace Parkway,2016 National Parks BioBlitz - Natchez Trace BioBlitz and Wildlife Weekend,MS,32.87,-89.654,"Sat. April 16, 2016",https://www.nps.gov/natr,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-natchez-trace-bioblitz-wildlife-weekend
NAMA,National Mall & Memorial Parks,2016 National Parks BioBlitz - National Mall,DC,38.88986603,-77.02278438,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/nama,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-national-mall
NPSA,National Park of American Samoa,2016 National Parks BioBlitz - American Samoa,AS,-14.23749053,-169.4526019,"Sun. May 15 - Sun. May 22, 2016",https://www.nps.gov/npsa,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-american-samoa
NISI,Ninety Six National Historic Site,2016 National Parks BioBlitz - Ninety Six,SC,34.1427,-82.016,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/nisi,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-ninety-six
NOCO,North Cascades National Park,2016 National Parks BioBlitz - North Cascades,WA,48.83319999,-121.3466097,"Fri. May 20 - Sun. May 22, 2016",https://www.nps.gov/noca,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-north-cascades
OCMU,Ocmulgee National Monument,2016 National Parks BioBlitz - Ocmulgee Butterfly BioBlitz,GA,32.83973829,-83.59675984,"Fri. August 19 - Sat. August 20, 2016",https://www.nps.gov/ocmu,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-ocmulgee-butterfly-bioblitz
OLYM,Olympic National Park,2016 National Parks BioBlitz - Olympic,WA,47.79456549,-123.6183453,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/olym,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-olympic
ORCA,Oregon Caves National Monument and Preserve,2016 National Parks BioBlitz - Oregon Caves Millipede BioBlitz,OR,42.1031365,-123.4016405,"Fri. May 20 - Sat. May 21, 2016",https://www.nps.gov/orca,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-oregon-caves-millipede-bioblitz
ORCA,Oregon Caves National Monument and Preserve,2016 National Parks BioBlitz - Oregon Caves Butterfly BioBlitz,OR,42.095156,-123.37982,"Sat. July 2, 2016",https://www.nps.gov/orca,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-oregon-caves-butterfly-bioblitz
ORCA,Oregon Caves National Monument and Preserve,2016 National Parks BioBlitz - Oregon Caves Dragonfly BioBlitz,OR,42.111131,-123.425229,"Sat. August 13, 2016",https://www.nps.gov/orca,http://www.inaturalist.org/projects/2016-national-parks-bioblitz-oregon-caves-dragonfly-bioblitz
